2024-04-21 00:40:13,284 - start
[32m[I 2024-04-21 00:47:20,807][0m Finished trial#0 with value: 0.5705482192877152 with parameters: {'remove_pct': 8, 'add_pct': 58, 'dataset': 'airport', 'i': '2', 'gnn': 'gcn', 'eval_orig': 0}. Best is trial#0 with value: 0.5705482192877152.[0m
[32m[I 2024-04-21 11:05:31,333][0m Finished trial#101 with value: 0.5810324129651862 with parameters: {'remove_pct': 18, 'add_pct': 38, 'dataset': 'airport', 'i': '2', 'gnn': 'gcn', 'eval_orig': 0}. Best is trial#96 with value: 0.5831532613045218.[0m
[32m[I 2024-04-21 11:11:54,311][0m Finished trial#102 with value: 0.5815926370548219 with parameters: {'remove_pct': 18, 'add_pct': 38, 'dataset': 'airport', 'i': '2', 'gnn': 'gcn', 'eval_orig': 0}. Best is trial#96 with value: 0.5831532613045218.[0m
[32m[I 2024-04-21 11:18:43,549][0m Finished trial#103 with value: 0.5826730692276911 with parameters: {'remove_pct': 13, 'add_pct': 38, 'dataset': 'airport', 'i': '2', 'gnn': 'gcn', 'eval_orig': 0}. Best is trial#96 with value: 0.5831532613045218.[0m
[32m[I 2024-04-21 11:25:41,686][0m Finished trial#104 with value: 0.5803121248499399 with parameters: {'remove_pct': 18, 'add_pct': 38, 'dataset': 'airport', 'i': '2', 'gnn': 'gcn', 'eval_orig': 0}. Best is trial#96 with value: 0.5831532613045218.[0m
[32m[I 2024-04-21 11:32:45,105][0m Finished trial#105 with value: 0.5711484593837535 with parameters: {'remove_pct': 8, 'add_pct': 41, 'dataset': 'airport', 'i': '2', 'gnn': 'gcn', 'eval_orig': 0}. Best is trial#96 with value: 0.5831532613045218.[0m
[32m[I 2024-04-21 11:39:30,426][0m Finished trial#106 with value: 0.5821528611444579 with parameters: {'remove_pct': 20, 'add_pct': 32, 'dataset': 'airport', 'i': '2', 'gnn': 'gcn', 'eval_orig': 0}. Best is trial#96 with value: 0.5831532613045218.[0m
[32m[I 2024-04-21 11:45:55,866][0m Finished trial#107 with value: 0.5811124449779911 with parameters: {'remove_pct': 19, 'add_pct': 29, 'dataset': 'airport', 'i': '2', 'gnn': 'gcn', 'eval_orig': 0}. Best is trial#96 with value: 0.5831532613045218.[0m
[32m[I 2024-04-21 11:52:20,099][0m Finished trial#108 with value: 0.582593037214886 with parameters: {'remove_pct': 20, 'add_pct': 32, 'dataset': 'airport', 'i': '2', 'gnn': 'gcn', 'eval_orig': 0}. Best is trial#96 with value: 0.5831532613045218.[0m
[32m[I 2024-04-21 11:58:52,964][0m Finished trial#109 with value: 0.5792316926770709 with parameters: {'remove_pct': 12, 'add_pct': 32, 'dataset': 'airport', 'i': '2', 'gnn': 'gcn', 'eval_orig': 0}. Best is trial#96 with value: 0.5831532613045218.[0m
[32m[I 2024-04-21 12:05:13,833][0m Finished trial#110 with value: 0.5748299319727891 with parameters: {'remove_pct': 22, 'add_pct': 25, 'dataset': 'airport', 'i': '2', 'gnn': 'gcn', 'eval_orig': 0}. Best is trial#96 with value: 0.5831532613045218.[0m
[32m[I 2024-04-21 12:11:36,648][0m Finished trial#111 with value: 0.5815526210484193 with parameters: {'remove_pct': 20, 'add_pct': 29, 'dataset': 'airport', 'i': '2', 'gnn': 'gcn', 'eval_orig': 0}. Best is trial#96 with value: 0.5831532613045218.[0m
[32m[I 2024-04-21 12:17:50,065][0m Finished trial#112 with value: 0.5780712284913965 with parameters: {'remove_pct': 16, 'add_pct': 32, 'dataset': 'airport', 'i': '2', 'gnn': 'gcn', 'eval_orig': 0}. Best is trial#96 with value: 0.5831532613045218.[0m
[32m[I 2024-04-21 12:23:58,035][0m Finished trial#113 with value: 0.581032412965186 with parameters: {'remove_pct': 20, 'add_pct': 33, 'dataset': 'airport', 'i': '2', 'gnn': 'gcn', 'eval_orig': 0}. Best is trial#96 with value: 0.5831532613045218.[0m
[32m[I 2024-04-21 12:30:00,770][0m Finished trial#114 with value: 0.576470588235294 with parameters: {'remove_pct': 27, 'add_pct': 30, 'dataset': 'airport', 'i': '2', 'gnn': 'gcn', 'eval_orig': 0}. Best is trial#96 with value: 0.5831532613045218.[0m
[32m[I 2024-04-21 12:36:18,431][0m Finished trial#115 with value: 0.5769107643057222 with parameters: {'remove_pct': 10, 'add_pct': 36, 'dataset': 'airport', 'i': '2', 'gnn': 'gcn', 'eval_orig': 0}. Best is trial#96 with value: 0.5831532613045218.[0m
[32m[I 2024-04-21 12:42:27,682][0m Finished trial#116 with value: 0.5822729091636655 with parameters: {'remove_pct': 13, 'add_pct': 27, 'dataset': 'airport', 'i': '2', 'gnn': 'gcn', 'eval_orig': 0}. Best is trial#96 with value: 0.5831532613045218.[0m
[32m[I 2024-04-21 12:48:36,614][0m Finished trial#117 with value: 0.5783113245298118 with parameters: {'remove_pct': 14, 'add_pct': 27, 'dataset': 'airport', 'i': '2', 'gnn': 'gcn', 'eval_orig': 0}. Best is trial#96 with value: 0.5831532613045218.[0m
[32m[I 2024-04-21 12:54:59,108][0m Finished trial#118 with value: 0.5708683473389355 with parameters: {'remove_pct': 16, 'add_pct': 20, 'dataset': 'airport', 'i': '2', 'gnn': 'gcn', 'eval_orig': 0}. Best is trial#96 with value: 0.5831532613045218.[0m
[32m[I 2024-04-21 13:01:19,233][0m Finished trial#119 with value: 0.5721488595438176 with parameters: {'remove_pct': 21, 'add_pct': 23, 'dataset': 'airport', 'i': '2', 'gnn': 'gcn', 'eval_orig': 0}. Best is trial#96 with value: 0.5831532613045218.[0m
[32m[I 2024-04-21 13:07:36,888][0m Finished trial#120 with value: 0.5785514205682272 with parameters: {'remove_pct': 23, 'add_pct': 29, 'dataset': 'airport', 'i': '2', 'gnn': 'gcn', 'eval_orig': 0}. Best is trial#96 with value: 0.5831532613045218.[0m
[32m[I 2024-04-21 13:14:09,201][0m Finished trial#121 with value: 0.580392156862745 with parameters: {'remove_pct': 12, 'add_pct': 34, 'dataset': 'airport', 'i': '2', 'gnn': 'gcn', 'eval_orig': 0}. Best is trial#96 with value: 0.5831532613045218.[0m
[32m[I 2024-04-21 13:20:37,185][0m Finished trial#122 with value: 0.5794317727090835 with parameters: {'remove_pct': 17, 'add_pct': 31, 'dataset': 'airport', 'i': '2', 'gnn': 'gcn', 'eval_orig': 0}. Best is trial#96 with value: 0.5831532613045218.[0m
[32m[I 2024-04-21 13:26:55,400][0m Finished trial#123 with value: 0.5664265706282514 with parameters: {'remove_pct': 6, 'add_pct': 26, 'dataset': 'airport', 'i': '2', 'gnn': 'gcn', 'eval_orig': 0}. Best is trial#96 with value: 0.5831532613045218.[0m
[32m[I 2024-04-21 13:33:04,130][0m Finished trial#124 with value: 0.5818327330932374 with parameters: {'remove_pct': 13, 'add_pct': 37, 'dataset': 'airport', 'i': '2', 'gnn': 'gcn', 'eval_orig': 0}. Best is trial#96 with value: 0.5831532613045218.[0m
[32m[I 2024-04-21 13:39:08,481][0m Finished trial#125 with value: 0.5801120448179272 with parameters: {'remove_pct': 19, 'add_pct': 36, 'dataset': 'airport', 'i': '2', 'gnn': 'gcn', 'eval_orig': 0}. Best is trial#96 with value: 0.5831532613045218.[0m
[32m[I 2024-04-21 13:45:19,175][0m Finished trial#126 with value: 0.5794717887154862 with parameters: {'remove_pct': 14, 'add_pct': 40, 'dataset': 'airport', 'i': '2', 'gnn': 'gcn', 'eval_orig': 0}. Best is trial#96 with value: 0.5831532613045218.[0m
[32m[I 2024-04-21 13:51:28,594][0m Finished trial#127 with value: 0.5746298519407762 with parameters: {'remove_pct': 9, 'add_pct': 33, 'dataset': 'airport', 'i': '2', 'gnn': 'gcn', 'eval_orig': 0}. Best is trial#96 with value: 0.5831532613045218.[0m
[32m[I 2024-04-21 13:57:38,990][0m Finished trial#128 with value: 0.5742697078831533 with parameters: {'remove_pct': 17, 'add_pct': 43, 'dataset': 'airport', 'i': '2', 'gnn': 'gcn', 'eval_orig': 0}. Best is trial#96 with value: 0.5831532613045218.[0m
[32m[I 2024-04-21 14:03:48,994][0m Finished trial#129 with value: 0.5823929571828732 with parameters: {'remove_pct': 13, 'add_pct': 29, 'dataset': 'airport', 'i': '2', 'gnn': 'gcn', 'eval_orig': 0}. Best is trial#96 with value: 0.5831532613045218.[0m
[32m[I 2024-04-21 14:10:15,316][0m Finished trial#130 with value: 0.5763505402160864 with parameters: {'remove_pct': 11, 'add_pct': 37, 'dataset': 'airport', 'i': '2', 'gnn': 'gcn', 'eval_orig': 0}. Best is trial#96 with value: 0.5831532613045218.[0m
[32m[I 2024-04-21 14:16:40,239][0m Finished trial#131 with value: 0.580752300920368 with parameters: {'remove_pct': 13, 'add_pct': 29, 'dataset': 'airport', 'i': '2', 'gnn': 'gcn', 'eval_orig': 0}. Best is trial#96 with value: 0.5831532613045218.[0m
[32m[I 2024-04-21 14:23:00,975][0m Finished trial#132 with value: 0.5749499799919968 with parameters: {'remove_pct': 15, 'add_pct': 31, 'dataset': 'airport', 'i': '2', 'gnn': 'gcn', 'eval_orig': 0}. Best is trial#96 with value: 0.5831532613045218.[0m
[32m[I 2024-04-21 14:29:17,282][0m Finished trial#133 with value: 0.5827130852340936 with parameters: {'remove_pct': 20, 'add_pct': 34, 'dataset': 'airport', 'i': '2', 'gnn': 'gcn', 'eval_orig': 0}. Best is trial#96 with value: 0.5831532613045218.[0m
[32m[I 2024-04-21 14:35:40,512][0m Finished trial#134 with value: 0.5779911964785914 with parameters: {'remove_pct': 8, 'add_pct': 34, 'dataset': 'airport', 'i': '2', 'gnn': 'gcn', 'eval_orig': 0}. Best is trial#96 with value: 0.5831532613045218.[0m
[32m[I 2024-04-21 14:42:00,949][0m Finished trial#135 with value: 0.5760704281712686 with parameters: {'remove_pct': 10, 'add_pct': 35, 'dataset': 'airport', 'i': '2', 'gnn': 'gcn', 'eval_orig': 0}. Best is trial#96 with value: 0.5831532613045218.[0m
[32m[I 2024-04-21 14:48:24,346][0m Finished trial#136 with value: 0.5815926370548219 with parameters: {'remove_pct': 13, 'add_pct': 32, 'dataset': 'airport', 'i': '2', 'gnn': 'gcn', 'eval_orig': 0}. Best is trial#96 with value: 0.5831532613045218.[0m
[32m[I 2024-04-21 14:54:47,675][0m Finished trial#137 with value: 0.578671468587435 with parameters: {'remove_pct': 13, 'add_pct': 33, 'dataset': 'airport', 'i': '2', 'gnn': 'gcn', 'eval_orig': 0}. Best is trial#96 with value: 0.5831532613045218.[0m
[32m[I 2024-04-21 15:01:02,523][0m Finished trial#138 with value: 0.5770708283313325 with parameters: {'remove_pct': 25, 'add_pct': 37, 'dataset': 'airport', 'i': '2', 'gnn': 'gcn', 'eval_orig': 0}. Best is trial#96 with value: 0.5831532613045218.[0m
[32m[I 2024-04-21 15:07:22,237][0m Finished trial#139 with value: 0.5711084433773509 with parameters: {'remove_pct': 12, 'add_pct': 25, 'dataset': 'airport', 'i': '2', 'gnn': 'gcn', 'eval_orig': 0}. Best is trial#96 with value: 0.5831532613045218.[0m
[32m[I 2024-04-21 15:13:40,636][0m Finished trial#140 with value: 0.5817927170868347 with parameters: {'remove_pct': 18, 'add_pct': 39, 'dataset': 'airport', 'i': '2', 'gnn': 'gcn', 'eval_orig': 0}. Best is trial#96 with value: 0.5831532613045218.[0m
[32m[I 2024-04-21 15:20:01,111][0m Finished trial#141 with value: 0.5805922368947579 with parameters: {'remove_pct': 18, 'add_pct': 39, 'dataset': 'airport', 'i': '2', 'gnn': 'gcn', 'eval_orig': 0}. Best is trial#96 with value: 0.5831532613045218.[0m
[32m[I 2024-04-21 15:26:26,120][0m Finished trial#142 with value: 0.5774709883953582 with parameters: {'remove_pct': 16, 'add_pct': 42, 'dataset': 'airport', 'i': '2', 'gnn': 'gcn', 'eval_orig': 0}. Best is trial#96 with value: 0.5831532613045218.[0m
[32m[I 2024-04-21 15:31:24,121][0m Finished trial#143 with value: 0.5585434173669468 with parameters: {'remove_pct': 77, 'add_pct': 36, 'dataset': 'airport', 'i': '2', 'gnn': 'gcn', 'eval_orig': 0}. Best is trial#96 with value: 0.5831532613045218.[0m
[32m[I 2024-04-21 15:37:44,922][0m Finished trial#144 with value: 0.5754301720688275 with parameters: {'remove_pct': 22, 'add_pct': 40, 'dataset': 'airport', 'i': '2', 'gnn': 'gcn', 'eval_orig': 0}. Best is trial#96 with value: 0.5831532613045218.[0m
[32m[I 2024-04-21 15:44:08,099][0m Finished trial#145 with value: 0.5779511804721889 with parameters: {'remove_pct': 11, 'add_pct': 32, 'dataset': 'airport', 'i': '2', 'gnn': 'gcn', 'eval_orig': 0}. Best is trial#96 with value: 0.5831532613045218.[0m
[32m[I 2024-04-21 15:50:29,983][0m Finished trial#146 with value: 0.5797919167667067 with parameters: {'remove_pct': 14, 'add_pct': 31, 'dataset': 'airport', 'i': '2', 'gnn': 'gcn', 'eval_orig': 0}. Best is trial#96 with value: 0.5831532613045218.[0m
[32m[I 2024-04-21 15:56:50,511][0m Finished trial#147 with value: 0.5753501400560225 with parameters: {'remove_pct': 15, 'add_pct': 28, 'dataset': 'airport', 'i': '2', 'gnn': 'gcn', 'eval_orig': 0}. Best is trial#96 with value: 0.5831532613045218.[0m
[32m[I 2024-04-21 16:03:08,387][0m Finished trial#148 with value: 0.5801120448179272 with parameters: {'remove_pct': 18, 'add_pct': 38, 'dataset': 'airport', 'i': '2', 'gnn': 'gcn', 'eval_orig': 0}. Best is trial#96 with value: 0.5831532613045218.[0m
[32m[I 2024-04-21 16:09:31,903][0m Finished trial#149 with value: 0.5740296118447379 with parameters: {'remove_pct': 7, 'add_pct': 34, 'dataset': 'airport', 'i': '2', 'gnn': 'gcn', 'eval_orig': 0}. Best is trial#96 with value: 0.5831532613045218.[0m
[32m[I 2024-04-21 16:15:45,646][0m Finished trial#150 with value: 0.58031212484994 with parameters: {'remove_pct': 20, 'add_pct': 27, 'dataset': 'airport', 'i': '2', 'gnn': 'gcn', 'eval_orig': 0}. Best is trial#96 with value: 0.5831532613045218.[0m
[32m[I 2024-04-21 16:22:03,299][0m Finished trial#151 with value: 0.5786314525810324 with parameters: {'remove_pct': 16, 'add_pct': 36, 'dataset': 'airport', 'i': '2', 'gnn': 'gcn', 'eval_orig': 0}. Best is trial#96 with value: 0.5831532613045218.[0m
[32m[I 2024-04-21 16:28:19,332][0m Finished trial#152 with value: 0.5787515006002402 with parameters: {'remove_pct': 14, 'add_pct': 33, 'dataset': 'airport', 'i': '2', 'gnn': 'gcn', 'eval_orig': 0}. Best is trial#96 with value: 0.5831532613045218.[0m
[32m[I 2024-04-21 16:34:23,526][0m Finished trial#153 with value: 0.5815526210484194 with parameters: {'remove_pct': 19, 'add_pct': 35, 'dataset': 'airport', 'i': '2', 'gnn': 'gcn', 'eval_orig': 0}. Best is trial#96 with value: 0.5831532613045218.[0m
[32m[I 2024-04-21 16:40:31,498][0m Finished trial#154 with value: 0.5785114045618247 with parameters: {'remove_pct': 10, 'add_pct': 30, 'dataset': 'airport', 'i': '2', 'gnn': 'gcn', 'eval_orig': 0}. Best is trial#96 with value: 0.5831532613045218.[0m
[32m[I 2024-04-21 16:46:40,514][0m Finished trial#155 with value: 0.5825530212084834 with parameters: {'remove_pct': 16, 'add_pct': 38, 'dataset': 'airport', 'i': '2', 'gnn': 'gcn', 'eval_orig': 0}. Best is trial#96 with value: 0.5831532613045218.[0m
[32m[I 2024-04-21 16:52:47,614][0m Finished trial#156 with value: 0.5824729891956782 with parameters: {'remove_pct': 13, 'add_pct': 32, 'dataset': 'airport', 'i': '2', 'gnn': 'gcn', 'eval_orig': 0}. Best is trial#96 with value: 0.5831532613045218.[0m
[32m[I 2024-04-21 16:58:53,334][0m Finished trial#157 with value: 0.5733493397358945 with parameters: {'remove_pct': 17, 'add_pct': 41, 'dataset': 'airport', 'i': '2', 'gnn': 'gcn', 'eval_orig': 0}. Best is trial#96 with value: 0.5831532613045218.[0m
[32m[I 2024-04-21 17:04:59,770][0m Finished trial#158 with value: 0.5802721088435374 with parameters: {'remove_pct': 15, 'add_pct': 35, 'dataset': 'airport', 'i': '2', 'gnn': 'gcn', 'eval_orig': 0}. Best is trial#96 with value: 0.5831532613045218.[0m
[32m[I 2024-04-21 17:10:50,989][0m Finished trial#159 with value: 0.5794317727090837 with parameters: {'remove_pct': 46, 'add_pct': 38, 'dataset': 'airport', 'i': '2', 'gnn': 'gcn', 'eval_orig': 0}. Best is trial#96 with value: 0.5831532613045218.[0m
[32m[I 2024-04-21 17:16:59,934][0m Finished trial#160 with value: 0.5698679471788715 with parameters: {'remove_pct': 21, 'add_pct': 45, 'dataset': 'airport', 'i': '2', 'gnn': 'gcn', 'eval_orig': 0}. Best is trial#96 with value: 0.5831532613045218.[0m
[32m[I 2024-04-21 17:23:16,228][0m Finished trial#161 with value: 0.5768307322929171 with parameters: {'remove_pct': 12, 'add_pct': 31, 'dataset': 'airport', 'i': '2', 'gnn': 'gcn', 'eval_orig': 0}. Best is trial#96 with value: 0.5831532613045218.[0m
[32m[I 2024-04-21 17:29:25,967][0m Finished trial#162 with value: 0.5791916766706681 with parameters: {'remove_pct': 24, 'add_pct': 39, 'dataset': 'airport', 'i': '2', 'gnn': 'gcn', 'eval_orig': 0}. Best is trial#96 with value: 0.5831532613045218.[0m
[32m[I 2024-04-21 17:35:40,478][0m Finished trial#163 with value: 0.5792717086834734 with parameters: {'remove_pct': 18, 'add_pct': 37, 'dataset': 'airport', 'i': '2', 'gnn': 'gcn', 'eval_orig': 0}. Best is trial#96 with value: 0.5831532613045218.[0m
[32m[I 2024-04-21 17:41:56,526][0m Finished trial#164 with value: 0.5806322529011605 with parameters: {'remove_pct': 13, 'add_pct': 33, 'dataset': 'airport', 'i': '2', 'gnn': 'gcn', 'eval_orig': 0}. Best is trial#96 with value: 0.5831532613045218.[0m
[32m[I 2024-04-21 17:48:15,762][0m Finished trial#165 with value: 0.5770708283313325 with parameters: {'remove_pct': 11, 'add_pct': 32, 'dataset': 'airport', 'i': '2', 'gnn': 'gcn', 'eval_orig': 0}. Best is trial#96 with value: 0.5831532613045218.[0m
[32m[I 2024-04-21 17:54:39,544][0m Finished trial#166 with value: 0.5766306522609044 with parameters: {'remove_pct': 9, 'add_pct': 34, 'dataset': 'airport', 'i': '2', 'gnn': 'gcn', 'eval_orig': 0}. Best is trial#96 with value: 0.5831532613045218.[0m
[32m[I 2024-04-21 18:01:00,559][0m Finished trial#167 with value: 0.5804321728691477 with parameters: {'remove_pct': 14, 'add_pct': 30, 'dataset': 'airport', 'i': '2', 'gnn': 'gcn', 'eval_orig': 0}. Best is trial#96 with value: 0.5831532613045218.[0m
[32m[I 2024-04-21 18:07:22,165][0m Finished trial#168 with value: 0.5805122048819527 with parameters: {'remove_pct': 16, 'add_pct': 28, 'dataset': 'airport', 'i': '2', 'gnn': 'gcn', 'eval_orig': 0}. Best is trial#96 with value: 0.5831532613045218.[0m
[32m[I 2024-04-21 18:13:44,571][0m Finished trial#169 with value: 0.5775910364145659 with parameters: {'remove_pct': 19, 'add_pct': 40, 'dataset': 'airport', 'i': '2', 'gnn': 'gcn', 'eval_orig': 0}. Best is trial#96 with value: 0.5831532613045218.[0m
[32m[I 2024-04-21 18:20:11,557][0m Finished trial#170 with value: 0.582232893157263 with parameters: {'remove_pct': 13, 'add_pct': 36, 'dataset': 'airport', 'i': '2', 'gnn': 'gcn', 'eval_orig': 0}. Best is trial#96 with value: 0.5831532613045218.[0m
[32m[I 2024-04-21 18:26:37,087][0m Finished trial#171 with value: 0.5797919167667066 with parameters: {'remove_pct': 16, 'add_pct': 37, 'dataset': 'airport', 'i': '2', 'gnn': 'gcn', 'eval_orig': 0}. Best is trial#96 with value: 0.5831532613045218.[0m
[32m[I 2024-04-21 18:31:23,446][0m Finished trial#172 with value: 0.553701480592237 with parameters: {'remove_pct': 80, 'add_pct': 35, 'dataset': 'airport', 'i': '2', 'gnn': 'gcn', 'eval_orig': 0}. Best is trial#96 with value: 0.5831532613045218.[0m
[32m[I 2024-04-21 18:37:42,832][0m Finished trial#173 with value: 0.5818727490996398 with parameters: {'remove_pct': 12, 'add_pct': 38, 'dataset': 'airport', 'i': '2', 'gnn': 'gcn', 'eval_orig': 0}. Best is trial#96 with value: 0.5831532613045218.[0m
<class 'torch.Tensor'>
<class 'numpy.ndarray'>
<class 'torch.Tensor'>
<class 'numpy.ndarray'>
<class 'torch.Tensor'>
<class 'numpy.ndarray'>
<class 'torch.Tensor'>
<class 'numpy.ndarray'>
<class 'torch.Tensor'>
<class 'numpy.ndarray'>
<class 'torch.Tensor'>
<class 'numpy.ndarray'>
<class 'torch.Tensor'>
<class 'numpy.ndarray'>
<class 'torch.Tensor'>
<class 'numpy.ndarray'>
<class 'torch.Tensor'>
<class 'numpy.ndarray'>
<class 'torch.Tensor'>
<class 'numpy.ndarray'>
<class 'torch.Tensor'>
<class 'numpy.ndarray'>
<class 'torch.Tensor'>
<class 'numpy.ndarray'>
<class 'torch.Tensor'>
<class 'numpy.ndarray'>
<class 'torch.Tensor'>
<class 'numpy.ndarray'>
<class 'torch.Tensor'>
<class 'numpy.ndarray'>
<class 'torch.Tensor'>
<class 'numpy.ndarray'>
<class 'torch.Tensor'>
<class 'numpy.ndarray'>
<class 'torch.Tensor'>
<class 'numpy.ndarray'>
<class 'torch.Tensor'>
<class 'numpy.ndarray'>
<class 'torch.Tensor'>
<class 'numpy.ndarray'>
<class 'torch.Tensor'>
<class 'numpy.ndarray'>
<class 'torch.Tensor'>
<class 'numpy.ndarray'>
<class 'torch.Tensor'>
<class 'numpy.ndarray'>
<class 'torch.Tensor'>
<class 'numpy.ndarray'>
<class 'torch.Tensor'>
<class 'numpy.ndarray'>
<class 'torch.Tensor'>
<class 'numpy.ndarray'>
<class 'torch.Tensor'>
<class 'numpy.ndarray'>
<class 'torch.Tensor'>
<class 'numpy.ndarray'>
<class 'torch.Tensor'>
<class 'numpy.ndarray'>
<class 'torch.Tensor'>
<class 'numpy.ndarray'>
<class 'torch.Tensor'>
<class 'numpy.ndarray'>
<class 'torch.Tensor'>
<class 'numpy.ndarray'>
<class 'torch.Tensor'>
<class 'numpy.ndarray'>
<class 'torch.Tensor'>
<class 'numpy.ndarray'>
<class 'torch.Tensor'>
<class 'numpy.ndarray'>
<class 'torch.Tensor'>
<class 'numpy.ndarray'>
<class 'torch.Tensor'>
<class 'numpy.ndarray'>
<class 'torch.Tensor'>
<class 'numpy.ndarray'>
<class 'torch.Tensor'>
<class 'numpy.ndarray'>
<class 'torch.Tensor'>
<class 'numpy.ndarray'>
<class 'torch.Tensor'>
<class 'numpy.ndarray'>
<class 'torch.Tensor'>
<class 'numpy.ndarray'>
<class 'torch.Tensor'>
<class 'numpy.ndarray'>
<class 'torch.Tensor'>
<class 'numpy.ndarray'>
<class 'torch.Tensor'>
<class 'numpy.ndarray'>
<class 'torch.Tensor'>
<class 'numpy.ndarray'>
<class 'torch.Tensor'>
<class 'numpy.ndarray'>
<class 'torch.Tensor'>
<class 'numpy.ndarray'>
<class 'torch.Tensor'>
<class 'numpy.ndarray'>
<class 'torch.Tensor'>
<class 'numpy.ndarray'>
<class 'torch.Tensor'>
<class 'numpy.ndarray'>
<class 'torch.Tensor'>
<class 'numpy.ndarray'>
<class 'torch.Tensor'>
<class 'numpy.ndarray'>
<class 'torch.Tensor'>
<class 'numpy.ndarray'>
<class 'torch.Tensor'>
<class 'numpy.ndarray'>
<class 'torch.Tensor'>
<class 'numpy.ndarray'>
<class 'torch.Tensor'>
<class 'numpy.ndarray'>
<class 'torch.Tensor'>
<class 'numpy.ndarray'>
<class 'torch.Tensor'>
<class 'numpy.ndarray'>
<class 'torch.Tensor'>
<class 'numpy.ndarray'>
<class 'torch.Tensor'>
<class 'numpy.ndarray'>
<class 'torch.Tensor'>
<class 'numpy.ndarray'>
<class 'torch.Tensor'>
<class 'numpy.ndarray'>
<class 'torch.Tensor'>
<class 'numpy.ndarray'>
<class 'torch.Tensor'>
<class 'numpy.ndarray'>
<class 'torch.Tensor'>
<class 'numpy.ndarray'>
<class 'torch.Tensor'>
<class 'numpy.ndarray'>
<class 'torch.Tensor'>
<class 'numpy.ndarray'>
<class 'torch.Tensor'>
<class 'numpy.ndarray'>
<class 'torch.Tensor'>
<class 'numpy.ndarray'>
<class 'torch.Tensor'>
<class 'numpy.ndarray'>
<class 'torch.Tensor'>
<class 'numpy.ndarray'>
<class 'torch.Tensor'>
<class 'numpy.ndarray'>
<class 'torch.Tensor'>
<class 'numpy.ndarray'>
<class 'torch.Tensor'>
<class 'numpy.ndarray'>
<class 'torch.Tensor'>
<class 'numpy.ndarray'>
<class 'torch.Tensor'>
<class 'numpy.ndarray'>
<class 'torch.Tensor'>
<class 'numpy.ndarray'>
<class 'torch.Tensor'>
<class 'numpy.ndarray'>
<class 'torch.Tensor'>
<class 'numpy.ndarray'>
<class 'torch.Tensor'>
<class 'numpy.ndarray'>
<class 'torch.Tensor'>
<class 'numpy.ndarray'>
<class 'torch.Tensor'>
<class 'numpy.ndarray'>
<class 'torch.Tensor'>
<class 'numpy.ndarray'>
<class 'torch.Tensor'>
<class 'numpy.ndarray'>
<class 'torch.Tensor'>
<class 'numpy.ndarray'>
<class 'torch.Tensor'>
<class 'numpy.ndarray'>
<class 'torch.Tensor'>
<class 'numpy.ndarray'>
<class 'torch.Tensor'>
<class 'numpy.ndarray'>
<class 'torch.Tensor'>
<class 'numpy.ndarray'>
<class 'torch.Tensor'>
<class 'numpy.ndarray'>
<class 'torch.Tensor'>
<class 'numpy.ndarray'>
<class 'torch.Tensor'>
<class 'numpy.ndarray'>
<class 'torch.Tensor'>
<class 'numpy.ndarray'>
<class 'torch.Tensor'>
<class 'numpy.ndarray'>
<class 'torch.Tensor'>
<class 'numpy.ndarray'>
<class 'torch.Tensor'>
<class 'numpy.ndarray'>
<class 'torch.Tensor'>
<class 'numpy.ndarray'>
<class 'torch.Tensor'>
<class 'numpy.ndarray'>
<class 'torch.Tensor'>
<class 'numpy.ndarray'>
<class 'torch.Tensor'>
<class 'numpy.ndarray'>
<class 'torch.Tensor'>
<class 'numpy.ndarray'>
<class 'torch.Tensor'>
<class 'numpy.ndarray'>
<class 'torch.Tensor'>
<class 'numpy.ndarray'>
<class 'torch.Tensor'>
<class 'numpy.ndarray'>
<class 'torch.Tensor'>
<class 'numpy.ndarray'>
<class 'torch.Tensor'>
<class 'numpy.ndarray'>
<class 'torch.Tensor'>
<class 'numpy.ndarray'>
<class 'torch.Tensor'>
<class 'numpy.ndarray'>
<class 'torch.Tensor'>
<class 'numpy.ndarray'>
<class 'torch.Tensor'>
<class 'numpy.ndarray'>
<class 'torch.Tensor'>
<class 'numpy.ndarray'>
<class 'torch.Tensor'>
<class 'numpy.ndarray'>
<class 'torch.Tensor'>
<class 'numpy.ndarray'>
<class 'torch.Tensor'>
<class 'numpy.ndarray'>
<class 'torch.Tensor'>
<class 'numpy.ndarray'>
<class 'torch.Tensor'>
<class 'numpy.ndarray'>
<class 'torch.Tensor'>
<class 'numpy.ndarray'>
<class 'torch.Tensor'>
<class 'numpy.ndarray'>
<class 'torch.Tensor'>
<class 'numpy.ndarray'>
<class 'torch.Tensor'>
<class 'numpy.ndarray'>
<class 'torch.Tensor'>
<class 'numpy.ndarray'>
<class 'torch.Tensor'>
<class 'numpy.ndarray'>
<class 'torch.Tensor'>
<class 'numpy.ndarray'>
<class 'torch.Tensor'>
<class 'numpy.ndarray'>
<class 'torch.Tensor'>
<class 'numpy.ndarray'>
<class 'torch.Tensor'>
<class 'numpy.ndarray'>
<class 'torch.Tensor'>
<class 'numpy.ndarray'>
<class 'torch.Tensor'>
<class 'numpy.ndarray'>
<class 'torch.Tensor'>
<class 'numpy.ndarray'>
<class 'torch.Tensor'>
<class 'numpy.ndarray'>
<class 'torch.Tensor'>
<class 'numpy.ndarray'>
<class 'torch.Tensor'>
